
2,41,1
40,57,39
56,57,40
49,50,56
2,40,41
3,40,2
3,56,40
4,56,3
4,49,56
5,49,4
6,49,5
6,50,49
7,50,6
7,16,50
8,16,7
8,17,16
9,17,8
51,52,58
55,59,60
58,37,38
58,60,37
52,60,58
52,55,60
52,13,55
14,13,52
12,11,54
60,36,37
59,36,60
59,35,36
59,54,53
55,54,59
55,12,54
13,12,55
39,58,38
57,58,39
57,51,58
56,51,57
50,51,56
16,51,50
15,51,16
15,52,51
15,14,52
72,73,47
71,73,72
70,62,65
61,62,70
25,62,61
25,24,62
74,45,46
74,75,45
74,68,75
67,68,74
67,22,68
66,22,67
73,46,47
73,74,46
73,67,74
73,66,67
71,66,73
70,66,71
65,66,70
65,22,66
65,23,22
62,23,65
24,23,62
69,64,63
21,64,69
63,43,44
21,20,64
42,27,26
42,28,27
43,28,42
63,28,43
63,29,28
64,29,63
64,30,29
64,31,30
64,32,31
20,32,64
19,32,20
19,33,32
19,18,33
75,44,45
75,63,44
75,69,63
68,69,75
22,69,68
22,21,69
48,72,47
34,72,48
35,72,34
59,72,35
53,72,59
53,71,72
53,70,71
54,70,53
54,61,70
11,61,54
10,61,11
10,25,61
